bank_txn_id,booking_date,value_date,amount,currency,counterparty_name,counterparty_account,description,channel
BTX-00000222,2026-01-27,2026-01-27,123.24,EUR,Kidd-Johnson,GB06STYD51740852659201,PAYMENT RCT-0000008 REF kEb5099,ACH
BTX-00000301,2026-01-30,2026-01-29,199.33,USD,Miller-Orozco,GB95QILF54368638795361,PAYMENT RCT-0000109 REF tcy6594,CASH
BTX-00000236,2025-12-31,2025-12-31,87.17,GBP,Moran Ltd,GB62YYHK13626574863432,PAYMENT RCT-0000027 REF uTB7769,CHECK
BTX-00000291,2026-03-15,2026-03-15,70.36,GBP,Carter-Martin,GB09EABN46003612582703,PAYMENT RCT-0000097 REF xbe2706,ACH
BTX-00000024,2026-02-15,2026-02-15,46.32,AED,Hill-Bean,GB81HTLL66956197436797,PAYMENT RCT-0000001 REF LCH1162,ACH
BTX-00000165,2026-02-20,2026-02-21,504.73,GBP,"Miller, Wood and Miller",GB64GGBI73193146234348,PAYMENT INV-0000134 REF ULj0849,CARD
BTX-00000088,2026-02-23,2026-02-23,54.03,GBP,Pena and Sons,GB30UORG01873350024273,PAYMENT INV-0000042 REF dgq4230,CASH
BTX-00000049,2026-03-15,2026-03-14,46.19,GBP,"Baker, Smith and White",GB80FAQQ33487555887357,PAYMENT RCT-0000048 REF GrS2434,CHECK
BTX-00000129,2026-04-11,2026-04-11,165.45,USD,Holmes Ltd,GB66QNGD60011895362507,PAYMENT INV-0000089 REF RRm8415,ACH
BTX-00000076,2026-02-27,2026-02-26,94.94,AED,"Russell, Burns and Walker",GB24ABFA75559409939520,PAYMENT INV-0000030 REF yvL8376,CASH
BTX-00000046,2026-03-18,2026-03-18,22.33,GBP,,GB49QZCY34910894678610,PAYMENT RCT-0000048 REF DwR2828,INTERNAL_TRANSFER
BTX-00000082,2026-02-17,2026-02-16,31.67,AED,Wilson LLC,GB54CGND43716377582944,PAYMENT INV-0000036 REF qkJ5116,INTERNAL_TRANSFER
BTX-00000194,2026-03-19,2026-03-19,158.85,USD,"Bradley, Meyer and Palmer",GB77ZCZG24255818657480,PAYMENT INV-0000172 REF iRL1936,CHECK
BTX-00000224,2026-02-22,2026-02-23,313.33,AED,Tran Ltd,GB89UVRP34672281108601,PAYMENT RCT-0000011 REF sXV9874,CHECK
BTX-00000202,2026-03-10,2026-03-09,222.55,AED,"Vance, Brennan and Hines",GB32IWNN58171897597589,PAYMENT INV-0000182 REF NKv6392,ACH
BTX-00000326,2026-01-21,2026-01-21,55.7,EUR,Mcclain-Davis,GB73POSY20108753495158,PAYMENT RCT-0000139 REF uTI8079,CARD
BTX-00000282,2026-01-01,2026-01-02,297.84,USD,Green LLC,GB31KUVV06910588249923,PAYMENT RCT-0000087 REF yfy2740,CASH
BTX-00000195,2026-03-07,2026-03-07,185.85,AED,"Williams, Harrison and Zuniga",GB31GXEP78380556076581,PAYMENT INV-0000173 REF XhL9062,CASH
BTX-00000154,2026-03-28,2026-03-28,41.27,GBP,"Erickson, Carey and Adams",GB24ZTAT25497964040767,PAYMENT INV-0000118 REF SKj1071,CHECK
BTX-00000251,2026-02-08,2026-02-07,119.33,USD,Graham and Sons,GB82ECOQ93395958492273,PAYMENT RCT-0000051 REF ENR8352,INTERNAL_TRANSFER
BTX-00000161,2026-01-31,2026-02-01,75.31,USD,Bates and Sons,GB04IWHV83882792978681,,CARD
BTX-00000290,2026-02-26,2026-02-26,92.62,EUR,Powers-Joyce,GB79KFOS90190910701789,PAYMENT RCT-0000096 REF VeO2821,CARD
BTX-00000015,2025-12-23,2025-12-23,32.09,USD,,GB83BBCW30136801077243,PAYMENT INV-0000152 REF Wqx1496,CASH
BTX-00000335,2026-03-26,2026-03-25,107.79,GBP,Smith-Wright,GB73XBYI07314926921488,PAYMENT RCT-0000150 REF VZf5127,WIRE
BTX-00000320,2026-02-10,2026-02-11,368.39,EUR,Williams-Jimenez,GB21HSCR26725027253800,PAYMENT RCT-0000133 REF ZIv4682,INTERNAL_TRANSFER
BTX-00000080,2026-01-07,2026-01-08,177.85,AED,Rodriguez Ltd,GB19MHTX79947958450737,PAYMENT INV-0000034 REF jjp4091,INTERNAL_TRANSFER
BTX-00000313,2026-02-17,2026-02-17,149.81,EUR,Austin-Kennedy,GB38SJSP31038115491879,PAYMENT RCT-0000125 REF Wvw4983,CHECK
BTX-00000120,2026-03-03,2026-03-02,59.13,AED,Clarke-Jones,GB58YTRM62614496369751,PAYMENT INV-0000080 REF TgR8057,ACH
BTX-00000321,2026-04-07,2026-04-07,688.35,EUR,Miller PLC,GB98CWPR90444838741056,PAYMENT RCT-0000134 REF SkM3016,CHECK
BTX-00000146,2026-02-18,2026-02-17,235.35,AED,Adams-Casey,GB37KNOB84329402824738,PAYMENT INV-0000110 REF XYY2761,WIRE
BTX-00000029,2026-01-25,2026-01-24,30.53,GBP,"Riley, Johnson and Lambert",GB58YVEV10992974309205,,CARD
BTX-00000350,2026-01-15,2026-01-16,8.51,AED,Harrison-Anderson,GB67RRMA35613464735961,PAYMENT  REF Epd2521,CHECK
BTX-00000173,2026-01-22,2026-01-22,24.52,AED,"Mitchell, Baldwin and Johnson",GB03DEBZ07244508757518,PAYMENT INV-0000144 REF bcq2676,CHECK
BTX-00000123,2026-02-10,2026-02-11,194.0,EUR,Salinas Ltd,GB40PEER71078003029273,PAYMENT INV-0000083 RE FIHz2002,CARD
BTX-00000302,2026-02-15,2026-02-15,171.81,GBP,"Johnson, Wu and Williams",GB09GWCT74156571882311,PAYMENT RCT-0000110 REF AkX3368,CASH
BTX-00000174,2026-02-27,2026-02-27,346.64,EUR,Rice-Mccarthy,GB69PHRT68177392025881,PAYMENT INV-0000146 REF hnU6265,INTERNAL_TRANSFER
BTX-00000255,2026-03-13,2026-03-14,181.24,USD,Rice PLC,GB17AXXQ72373738057405,PAYMENT RCT-0000057 REF qZN2847,CHECK
BTX-00000001,2026-03-11,2026-03-11,735.8,GBP,"Williams, Hardy and Anderson",GB04FCND66897054178580,PAYMENT RCT-0000015 INV-0000167 INV-0000095 REF tmP0106,CHECK
BTX-00000068,2026-01-30,2026-01-31,29.99,GBP,Schultz-Roberts,GB53EQHZ51416580597673,PAYMENT INV-0000020 REF CLq4705,CASH
BTX-00000019,2026-01-25,2026-01-25,143.09,EUR,Miller LLC,GB90HCPQ13792383336176,PAYMENT RCT-0000105 REF ZDo3001,CARD
BTX-00000184,2026-01-17,2026-01-18,100.35,EUR,Shannon Group,GB56JJVF66301101148465,PAYMENT INV-0000158 REF kVm1980,CASH
BTX-00000180,2026-02-20,2026-02-20,229.79,GBP,"Reyes, Luna and Johnson",GB79GXKG07704056109016,PAYMENT INV3-0000154 REF Fgz4767,INTERNAL_TRANSFER
BTX-00000216,2026-04-12,2026-04-11,41.83,GBP,Shaffer Inc,GB73HXPC75338380999418,PAYMENT INV-0000200 REF Kyw1463,WIRE
BTX-00000310,2026-02-08,2026-02-09,177.66,USD,"Barr, Hernandez and Walsh",GB47ATAM97767203208717,PAYMENT RCT-0000121 REF jRv8641,ACH
BTX-00000040,2026-02-18,2026-02-17,37.54,EUR,Cruz Group,GB30RNSV81351381043037,PAYMENT INV-0000069 REF CZl1119,INTERNAL_TRANSFER
BTX-00000209,2026-01-25,2026-01-25,54.19,AED,"Miller, Noble and Reed",GB30LURS80054701052632,PAYMENT INV-0000192 REF ToC9748,ACH
BTX-00000248,2026-02-11,2026-02-12,103.81,GBP,Robinson PLC,GB11LDKT74791541741075,PAYMENT RCT-0000046 REF yjk2382,CASH
BTX-00000106,2026-01-24,2026-01-25,37.13,EUR,Newman and Sons,GB68RHJH90189115429780,PAYMENT INV-0000064 REF Zuc0396,CARD
BTX-00000065,2026-03-18,2026-03-19,173.36,USD,Kent-Bowman,GB92FZGX93912135833271,PAYMENT INV-0000017 REF IRI6301,CASH
BTX-00000273,2026-02-18,2026-02-17,103.19,AED,Dickson Ltd,GB58FEFV50090477883653,PAYMENT RCT-0000076 REF pGT4318,WIRE
BTX-00000151,2026-03-28,2026-03-29,265.06,EUR,"Gomez, Wallace and Williams",GB88LQWO64049567190100,PAYMENT INV-0000115 REF knd0681,CASH
BTX-00000137,2026-02-28,2026-03-01,526.73,EUR,Scott-Johnson,GB68AACE12101904283093,PAYMENT INV-0000100 REF YkK6195,INTERNAL_TRANSFER
BTX-00000003,2026-02-23,2026-02-23,618.46,AED,Phillips-Orr,GB02SAAH05514687032696,PAYMENT INV-0000108 RCT-0000018 INV-0000188 REF Xlo3904,CARD
BTX-00000176,2026-01-06,2026-01-06,393.2,GBP,"Campbell, Vega and Miller",GB39NFZY55540712135147,PAYMENT INV-0000149 REF ZNd5084,CASH
BTX-00000008,2026-03-23,2026-03-23,16.68,GBP,"Warren, Mitchell and Sharp",GB55NMQR14246648518121,PAYMENT INV-0000094 REF oNy9713,ACH
BTX-00000225,2026-01-21,2026-01-21,10.69,AED,Ingram-Adams,GB21TVYU83840240854670,PAbYMENT RCT-0000013 REF MRU7879,ACH
BTX-00000035,2026-04-01,2026-03-31,139.24,EUR,Smith-Carlson,GB39VGLO74257348316265,PAYMENT INV-0000126 REF XHS8243,WIRE
BTX-00000237,2026-03-16,2026-03-16,118.68,AED,Hernandez-Snyder,GB29TVVD17093918005809,PAYMENT RCT-0000028 REF moa7074,WIRE
BTX-00000259,2026-03-02,2026-03-01,87.22,AED,Park-Potter,GB37QDXE61023041075497,,
BTX-00000197,2026-01-26,2026-01-27,285.07,AED,Grant-Castillo,GB82ZOVI12395861520581,PAYMENT INV-0000177 REF Xnv2421,INTERNAL_TRANSFER
BTX-00000325,2026-01-25,2026-01-24,243.51,GBP,Montgomery Ltd,GB43SSMD52421627631134,PAYMENT RCT-0000138 REF ZtH8688,ACH
BTX-00000149,2026-03-18,2026-03-18,188.63,EUR,Shepard-Morgan,GB86EQTY16495281079240,PAYMENT INV-0000113 REF OQq0204,CASH
BTX-00000342,2026-01-22,2026-01-21,4.03,USD,Riggs-Hicks,GB62OORH61057454851894,PAYMENT  REF FWy6085,INTERNAL_TRANSFER
BTX-00000139,2026-02-01,2026-02-01,345.48,GBP,Johnson LLC,GB38CIKN33088621286895,PAYMENT INV-0000102 REF iFW4793,INTERNAL_TRANSFER
BTX-00000011,2026-03-03,2026-03-02,23.67,GBP,Peters-Washington,GB36HZUQ60714028457780,PAYMENT RCT-0000116 REF Edq1086,CASH
BTX-00000084,2026-02-13,2026-02-12,164.05,AED,Arias Group,GB28MGLZ91604625035577,PAYMENT INV-0000038 REF cpH3424,CASH
BTX-00000109,2026-02-25,2026-02-25,81.55,USD,Williams-Beltran,GB57PKXC26594136339547,PAYMENT INV-0000067 REF qoW2908,ACH
BTX-00000270,2026-03-26,2026-03-26,162.06,AED,"Burke, Higgins and Torres",GB56HQIF24450801887020,PAYMENT RCT-0000073 REF mGP9259,WIRE
BTX-00000221,2026-03-03,2026-03-04,106.09,GBP,Ruiz-Perez,GB24GGNJ31950364193204,PAYMENT RCT-0000007 REF ntm8042,INTERNAL_TRANSFER
BTX-00000138,2025-12-31,2026-01-01,90.8,AED,Estes-Acosta,GB95JQEK47869315748566,APYMENT INV-0000101 REF UuS2992,WIRE
BTX-00000298,2026-02-21,2026-02-21,162.72,EUR,Hodges-Jones,GB97MBLI99475644538316,PAYMENT RCT-0000106 REF tUY9961,CHECK
BTX-00000091,2026-01-30,2026-01-31,26.93,GBP,"Miranda, Perry and Perry",GB80QZLW84568357274815,PAYMENT INV-0000046 REF HGY3371,ACH
BTX-00000105,2026-01-31,2026-02-01,99.01,AED,Elliott Inc,GB45IPCR14734698766523,PAYMENT INV-0000063 REF nSx6613,CARD
BTX-00000006,2026-03-05,2026-03-04,595.8,AED,"Morrison, Martin and Crosby",GB02VLAI49550957215604,PAYMENT INV-0000195 RCT-0000098 INV-0000133 REF RYm7170,CARD
BTX-00000257,2026-03-12,2026-03-11,126.08,USD,Mccarthy Group,GB54XQKL73814612725664,PAYMENT RCT-0000059 REF vcK5265,CASH
BTX-00000235,2026-01-26,2026-01-27,43.71,GBP,"Patrick, Taylor and Bailey",GB07IWGA30504827278111,PAYMENT RCT-0000026 REF qiy8015,INTERNAL_TRANSFER
BTX-00000274,2026-03-21,2026-03-20,111.52,USD,Davis Group,GB16FEOL78804817411570,PAYMENT RCT-0000077 REF zIM5176,CASH
BTX-00000167,2026-02-24,2026-02-23,123.71,EUR,Rios PLC,GB40YVSM27051964593625,PAYMENT INV-0000137 REF RlU7087,ACH
BTX-00000213,2026-02-06,2026-02-07,17.34,AED,Conway Inc,GB04PRNL26388018229543,PAYMENT INV-0000197 REF wcr2606,CASH
BTX-00000051,2026-02-23,2026-02-23,41.27,AED,Rodriguez-James,GB33HYWS45650730106045,PAYMENT INV-0000002 REF vBO9658,CARD
BTX-00000333,2026-01-23,2026-01-23,153.91,AED,"Dudley, Porter and Hicks",GB15DDWX77994422286906,PAYMENT RCT-0000147 REF RdF5952,WIRE
BTX-00000147,2026-02-06,2026-02-07,53.36,AED,Butler LLC,GB34XBKM94888497547395,PAYMENT INV-0000111 REF PIz4392,INTERNAL_TRANSFER
BTX-00000136,2026-03-10,2026-03-10,141.79,EUR,"Nguyen, Garza and Dominguez",GB91MBRC29996240008257,PAYMENT INV-0000099 REF oWl4013,CHECK
BTX-00000023,2026-03-15,2026-03-14,59.21,AED,Cole-Thompson,GB39WGMB41298024501684,PAYMENT RCT-0000001 REF OQY5882,CHECK
BTX-00000336,2026-02-14,2026-02-15,2.9,AED,"White, Roberts and Graves",GB73RSLC94472340445741,PAYMENT  REF stD1369,INTERNAL_TRANSFER
BTX-00000171,2026-02-15,2026-02-15,102.15,EUR,Chang Group,GB84NJBU99872754660864,PAYMENT INV-0000142 REF YlB1439,CASH
BTX-00000279,2026-01-25,2026-01-25,26.91,EUR,Thompson-Cole,GB20UUJS69779333035577,PAYMENT RCT-0000083 REF GCT8940,CASH
BTX-00000159,2026-01-17,2026-01-16,76.64,GBP,Mcmahon Inc,GB55ROVN49807105545534,PAYMENT INV-0000127 REF nIa4004,INTERNAL_TRANSFER
BTX-00000061,2026-03-20,2026-03-21,368.14,EUR,,GB09EZVX34440980927479,PAYMENT INV-0000013 REF ZYs1305,WIRE
BTX-00000014,2026-01-19,2026-01-20,39.45,USD,Hill LLC,GB67PBYZ98321048932437,PAYMENT IhNV-0000152 REF dwo1110,ACH
BTX-00000128,2026-02-10,2026-02-09,160.61,AED,Tran-Martinez,GB81EDJA94470763484579,PAYMENT INV-0000088 REF Gbf0838,CARD
BTX-00000150,2026-02-14,2026-02-14,485.5,AED,Silva-Stephens,GB20MTUY02061906764080,PAYMENT INV-0000114 REF uDB8239,CASH
BTX-00000030,2026-01-09,2026-01-08,24.59,GBP,"Skinner, Bush and Ramos",GB94PYOH78017461129570,PAYMENT INV-0000123 REF sgX5461,WIRE
BTX-00000228,2026-01-20,2026-01-20,88.17,EUR,Williams LLC,GB13BDJC36990750568972,PAYMENT RCT-0000017 REF kpz6035,ACH
BTX-00000295,2026-01-14,2026-01-13,62.95,GBP,"King, Santiago and Barker",GB20PHGX14694456577010,PAYMENT RCT-0000102 REF CpM7468,CHECK
BTX-00000262,2026-01-13,2026-01-12,129.67,USD,Carter-Price,GB27VSVZ06714420999595,PAYMENT RCT-0000065 REF sSP8032,WIRE
BTX-00000312,2026-01-27,2026-01-27,230.56,USD,Jackson-Jackson,GB32WGNK31080978553653,PAYMENT RCT-0000124 REF hef8425,INTERNAL_TRANSFER
BTX-00000038,2026-02-17,2026-02-16,3.1,USD,Pham-Moody,GB70ALXK61405215483088,PAYMENT RCT-0000022 REF BDJ5965,INTERNAL_TRANSFER
BTX-00000267,2026-01-08,2026-01-08,59.64,GBP,"Olson, Barker and Weber",GB82PMGT39151260388257,PAYMENT RCT-0000070 REF uuW9675,WIRE
BTX-00000263,2026-01-31,2026-01-31,171.27,USD,Silva-Delgado,GB77CZQC42527175359060,PAYMENT RCT-0000066 REF ekm9437,WIRE
BTX-00000204,2026-02-17,2026-02-18,62.37,GBP,Mitchell and Sons,GB02RGUN80551177765581,PAYMENT INV-0000184 REF OuQ2448,CHECK
BTX-00000039,2026-02-20,2026-02-20,5.1,USD,Graves-Vasquez,GB37CWEV13888417933932,PAYMENT RCT-0000022 REF JgW4560,CASH
BTX-00000285,2026-03-09,2026-03-08,108.36,USD,"Campbell, Smith and Arnold",GB07JWSW44053844397391,PAYMENT RCT-0000091 REF ceM2883,CASH
BTX-00000284,2026-01-19,2026-01-20,42.71,AED,"Bright, Trevino and Mitchell",GB58AEEK86705813164569,PAYMEN TRCT-0000089 REF jaR0367,CASH
BTX-00000111,2026-03-12,2026-03-11,166.68,GBP,Hansen and Sons,GB74QKRX33539575519184,PAYMENT INV-0000070 REF byA6466,CARD
BTX-00000314,2026-03-23,2026-03-22,193.46,EUR,"Whitney, Bowman and Cruz",GB15DEII44577616213516,PAYMENT RCT-0000126 REF Jyj0714,CASH
BTX-00000238,2026-03-28,2026-03-29,18.42,GBP,Wise-Lyons,GB24AMCM98741721783716,PAYMENT RCT-0000029 REF TmR6193,INTERNAL_TRANSFER
BTX-00000231,2026-03-04,2026-03-03,177.96,USD,,GB55XUDC68631369634377,PAYMENT RCT-0000021 REF Ywp3793,INTERNAL_TRANSFER
BTX-00000063,2026-03-14,2026-03-13,49.32,USD,Arnold-George,GB35ASDW45264744436210,PAYMENT INV-0000015 REF mjq7305,ACH
BTX-00000127,2026-03-26,2026-03-27,226.99,GBP,Peterson-Johnston,GB43IVUU76313628885136,PAYMENT INV-0000087 REF yFR4276,CHECK
BTX-00000045,2026-03-11,2026-03-10,145.14,GBP,Jackson-Acosta,GB32RTCE98798949679172,PAYMENT INV-0000147 REF VuI7708,CARD
BTX-00000311,2026-04-07,2026-04-07,349.79,GBP,Hall-Richard,GB92WJLK77148571853493,PAYMENT RCT-0000122 REF Jub5334,
BTX-00000134,2026-03-28,2026-03-29,214.89,AED,Roman-Guerra,GB02DYQA51547168962252,PAYMENT INV-0000097 REF TYz8485,INTERNAL_TRANSFER
BTX-00000230,2026-03-14,2026-03-13,163.22,EUR,"Day, Taylor and Pollard",GB41EFSR93529077694422,PAYMENT RCT-0000020 REF TIl6693,INTERNAL_TRANSFER
BTX-00000009,2026-02-07,2026-02-08,17.09,GBP,,GB79PEVG63661053706698,PAYMENT INV-0000094 REF aIq1631,ACH
BTX-00000097,2026-02-22,2026-02-22,143.57,EUR,"Dennis, Gonzalez and Ward",GB89XDKW33837481341199,PAYMENT INV-0000054 REF OPv6351,CHECK
BTX-00000075,2026-04-03,2026-04-04,246.02,AED,Robinson and Sons,GB71SFWU54785889850403,PAYMENT INV-0000029 REF sZt0412,ACH
BTX-00000168,2025-12-26,2025-12-27,201.65,GBP,Garcia-Francis,GB03VKZQ24522603174536,PAYMENT INV-0000139 REF Gvq9188,CHECK
BTX-00000307,2025-12-28,2025-12-27,61.76,USD,Washington-Schmitt,GB92PZMS80576756941716,PAYMENT RCT-0000118 REF VIR0022,WIRE
BTX-00000253,2026-03-12,2026-03-12,223.04,USD,Peck Ltd,GB57UDAR51252854040428,PAYMENT RCT-0000053 REF jsz0370,CASH
BTX-00000102,2026-01-08,2026-01-09,125.22,AED,Boyd-White,GB07BPAR66410386273977,PAYMENT INV-0000059 REF abb2393,CHECK
BTX-00000304,2026-03-13,2026-03-14,117.35,GBP,,GB53MXMX29234112563418,PAYMENT RCT-0000112 REF xpY2134,CARD
BTX-00000288,2026-01-28,2026-01-27,94.59,AED,"Allison, Jenkins and James",GB72ATZT23093880514801,PAYMENT RCT-0000094 REF PQv6030,CASH
BTX-00000119,2026-01-28,2026-01-29,94.97,GBP,Potter-Edwards,GB77AHOO08425171823412,PAYMENT INV-0000079 REF OQk2794,INTERNAL_TRANSFER
BTX-00000331,2026-03-23,2026-03-24,302.88,GBP,"Russell, Andrews and Patton",GB48BRHZ10298790848836,PAYMENT RCT-0000145 REF abI9269,INTERNAL_TRANSFER
BTX-00000012,2026-02-08,2026-02-07,17.26,GBP,,GB25REOY75534008339845,PAYMENT RCT-0000116 REF fjL2003,CARD
BTX-00000028,2026-01-16,2026-01-17,20.27,GBP,Garcia PLC,GB93AKAV43267004598588,PAYMENT INV-0000123 REF RfY8887,CASH
BTX-00000280,2026-02-16,2026-02-17,64.55,AED,Collins-Mitchell,GB47OEAN48127277344485,PAYMENT RCT-0000085 REF qdL8770,CARD
BTX-00000329,2026-01-31,2026-01-31,37.39,EUR,"Caldwell, Prince and Allen",GB24YCSG89539012858499,PAYMENT RCT-0000142 REF FUg7079,ACH
BTX-00000217,2026-02-09,2026-02-10,321.35,USD,"Arroyo, Caldwell and Roy",GB22DQBW90509862939868,PAYMENT RCT-0000002 REF Luo8281,WIRE
BTX-00000269,2026-04-09,2026-04-08,116.36,EUR,"Stephens, Soto and Becker",GB48EKJM67481602691967,,CASH
BTX-00000004,2026-01-16,2026-01-15,327.23,GBP,Hill-Fuller,GB44TWTI59900409252675,PAYMENT INV-0000191 RCT-0000042 REF vgM8113,CASH
BTX-00000141,2026-02-13,2026-02-14,113.71,USD,"Rivera, Daniels and Gilbert",GB23ZAFI39342141277508,PAYMENT INV-000104 REF ZSH1929,WIRE
BTX-00000328,2026-03-23,2026-03-22,46.64,AED,Williams-King,GB89XWBB43047969614420,PAYMENT RCT-0000141 REF Dba2436,WIRE
BTX-00000271,2026-03-13,2026-03-12,73.95,AED,Hayes-Lee,GB36GCBR12959085474508,PAYMENT RCT-0000074 REF qoE1252,WIRE
BTX-00000348,2026-02-15,2026-02-14,5.03,AED,Rice PLC,GB87LMTI31781441562731,PAYMENT  REF iaU5806,WIRE
BTX-00000166,2026-03-19,2026-03-18,59.16,USD,"Harris, Stevens and Smith",GB67QTQL50666387277876,PAYMENT INV-0000136 REF mGA2083,CHECK
BTX-00000064,2026-03-04,2026-03-05,155.34,USD,"Jones, Ayers and Walsh",GB47MDVY86125781261435,PAYMENT INV-0000016 REF txf1347,INTERNAL_TRANSFER
BTX-00000155,2026-02-23,2026-02-22,37.86,EUR,Rasmussen-Jones,GB60RVFY92588761398566,PAYMENT INV-0000119 REF IAu2697,CHECK
BTX-00000208,2026-01-25,2026-01-26,176.88,GBP,"Medina, Daniel and Johnson",GB55NNZZ88673097610418,PAYMENT INV-0000190 REF rAS7817,ACH
BTX-00000042,2026-01-14,2026-01-13,8.78,EUR,"Jones, Mejia and Miller",GB12SLTI28946920431097,PAYMENT INV-0000069 REF YGF3714,WIRE
BTX-00000058,2026-03-04,2026-03-05,40.89,EUR,"Martin, Stein and Day",GB53BNPA49073836635751,PAYMENT INV-0000009 REF vJK0870,CHECK
BTX-00000086,2026-02-08,2026-02-08,363.89,GBP,Kline-Reed,GB27PEBO19039376277653,PAYMENT INV-0000040 REF FwG5109,CHECK
BTX-00000170,2026-03-01,2026-03-02,14.92,AED,"Andrews, Wells and Ramos",GB31TNWG10469143091288,PAYMENT INV-0000141 REF WBK7057,
BTX-00000219,2026-01-28,2026-01-29,285.26,EUR,"Nichols, Ward and Hall",GB28ENQW74672130444796,PAYMENT RCT-0000005 REF oMb8850,INTERNAL_TRANSFER
BTX-00000243,2026-03-26,2026-03-25,186.19,GBP,"Copeland, Mora and Morse",GB12SHDT64213196950511,PAYMENT RCT-0000039 REF dlb8690,INTERNAL_TRANSFER
BTX-00000317,2026-02-28,2026-02-28,147.78,USD,"Burns, Armstrong and Haynes",GB93LKUO70454316023713,PAYMENT RCT-0000129 REF pGK2724,CARD
BTX-00000033,2026-03-01,2026-03-01,47.96,GBP,Solis Group,GB46ECVS75704858374119,PAYMENT RCT-0000038 REF hqC2673,WIRE
BTX-00000254,2026-04-05,2026-04-06,77.06,EUR,Gonzalez-Dickerson,GB55NLVA65348634475428,PAYMENT RCT-0000054 REF JRF0999,ACH
BTX-00000223,2026-03-07,2026-03-06,115.96,GBP,Pearson-Perez,GB95HZCF40563398990874,PAYMENT RCT-0000010 REF YQB4435,INTERNAL_TRANSFER
BTX-00000264,2026-02-07,2026-02-08,263.33,USD,Mcgee-Perez,GB90BEMT45217342647296,PAYMENT RCT-0000067 REF KCe2717,CHECK
BTX-00000278,2026-02-16,2026-02-17,32.08,USD,Coleman Ltd,GB08RJLO21743511332426,PAYMENT RCT-0000082 REF xHZ1153,CASH
BTX-00000055,2026-03-09,2026-03-09,115.06,USD,Montgomery-English,GB31OSJB87905440474053,PAYMENT INV-0000006 REF wLG2355,CASH
BTX-00000182,2026-02-02,2026-02-03,70.75,USD,"Willis, Anderson and Brown",GB36MSUA86357629776604,PAYMENT INV-000056 REF RPE4794,CARD
BTX-00000192,2026-02-25,2026-02-25,181.56,GBP,Andrade-Bailey,GB46NQYU14683671819953,PAYMENT INV-0000170 REF LSG1924,CARD
BTX-00000095,2026-01-11,2026-01-10,119.57,GBP,"Cook, Schultz and Brown",GB18IOPU29968425917379,,CARD
BTX-00000092,2026-04-02,2026-04-03,12.09,GBP,,GB64GDYK87990768779609,PAYMENT INZV-0000047 REF IHy1485,CARD
BTX-00000083,2026-02-14,2026-02-13,147.07,GBP,,GB41XSZR85584251294366,PAYMENT INV-0000037 REF TuC4226,CASH
BTX-00000244,2026-01-18,2026-01-19,200.32,GBP,Hall and Sons,GB46OGEY20661785761647,PAYMENT RCT-0000040 REF HmO6336,CASH
BTX-00000293,2026-02-06,2026-02-06,183.17,GBP,Riggs Ltd,GB30MPVK06999380728810,PAYMENT RCT-0000100 REF PAW3583,ACH
BTX-00000211,2026-02-03,2026-02-04,132.98,EUR,"Whitehead, Walker and Wallace",GB42QVBG91748934889945,PAYMENT INV-0000194 REF ESM0319,CASH
BTX-00000113,2026-02-12,2026-02-11,85.01,EUR,"Pena, Cook and Wall",GB90HTCU85849669541314,PAYMENT INV-0000072 REF BEN7864,CHECK
BTX-00000104,2026-03-23,2026-03-23,55.68,EUR,"Beasley, Reeves and Bolton",GB89CBMX04140508095746,PAYMENT INV-0000062 REFIic1884,INTERNAL_TRANSFER
BTX-00000160,2026-02-23,2026-02-23,100.02,EUR,Farrell PLC,GB84HKYM48612676069882,PAYMENT INV-0000128 REF ruS6652,CARD
BTX-00000245,2026-01-18,2026-01-18,27.36,EUR,"Ross, Martin and Camacho",GB86YOBD14543318157293,PAYMENT RCT-0000041 REF sjg7205,ACH
BTX-00000334,2026-03-30,2026-03-29,195.72,EUR,Todd-Smith,GB04PUTK77797455194203,PAYMENT RCT-0000148 REF xbp2620,CARD
BTX-00000044,2026-02-05,2026-02-04,68.83,GBP,Stone-Fernandez,GB33KMIO22171006085303,PAYMENT INV-0000147 REF yuG1006,INTERNAL_TRANSFER
BTX-00000178,2026-03-05,2026-03-04,292.3,USD,Hardy Ltd,GB38GVVT34479579186585,PAYMENT INV-0000151 REF AtR3284,CHECK
BTX-00000096,2026-03-08,2026-03-09,259.88,USD,Mendoza-Gordon,GB06HTDA59226528594169,PAYMENT INV-0000051 REF nuS7548,CASH
BTX-00000272,2026-02-08,2026-02-07,176.52,AED,"Watson, Butler and Brown",GB20VDTC91607641771556,PAYMENT RCT-0000075 REF Kfx3101,INTERNAL_TRANSFER
BTX-00000277,2026-03-02,2026-03-02,194.05,GBP,Thompson-Dixon,GB84EJUL92931915369637,PAYMENT RCT-0000080 REF mcb5791,ACH
BTX-00000114,2026-03-25,2026-03-24,34.93,AED,,GB52VTLM15859166278805,PAYMENT INV-0000073 REF Sqv7675,INTERNAL_TRANSFER
BTX-00000327,2026-02-15,2026-02-15,261.59,EUR,Hardin-Chan,GB49TGNQ71221890982808,PAYMENT RCT-0000140 REF ukh5721,ACH
BTX-00000162,2026-04-02,2026-04-01,235.28,AED,Chambers LLC,GB16HHKV21435655430936,PAYMENT INV-0000130 REF MOr3912,ACH
